Etnias
Aconã
Aikanã
Aikewara (Suruí do Pará)
Aimoré
Ajuru
Akawaio
Akroá-Gamela
Akuntsu
Akuriyó
Amahuaca
Amanayé
Amondáwa
Anacé
Anambé
Anapuru Muypurá
Andoke
Apalai
Apiaká
Apinayé
Apolima-Arara
Apurinã
Aramayana
Aranã
Arapaso
Arapium
Arara da Volta Grande do Xingu
Arara de Rondônia (Arara Karo)
Arara do Acre (Arara Shawãdawa)
Arara do Amazonas
Arara do Aripuanã
Arara do Pará
Arara Vermelha
Araweté
Arekuna
Arikapú
Arikosé
Aruá
Ashaninka
Asurini do Tocantins
Atikum
Avá-Canoeiro
Awa Guajá
Awuara
Baenã
Bakairi
Banawá
Baniwa
Bará
Barasána
Baré
Bora
Borari
Bororo
Borum Krem
Botocudo
Cabixi
Caboclos do Assu
Camasuri
Catokin
Catú-Awá-Arachás
Chaima
Chamakóko
Charrua
Chiquitáno
Migueleno
Cinta Larga
Dâw
Dení
Desána
Djeoromitxí-Jaboti
Embera
Enawenê-Nawê
Faruk'woto
Fulkaxó
Fulni-ô
Galibi Kali'na
Galibi Marwórno
Gavião de Rondônia (Ikolen)
Gavião do Ceará
Gavião Kykatejê
Gavião Parkatêjê
Gavião Pykopjê
Guarani
Avá-Guarani
Guarani Kaiowá
Guarani Mbya
Guarani Nhandeva
Tupi-Guarani
Guarasugwe
Guató
Gueguê
Guerém
Gueyah
Hixkaryana
Hupd'äh
Ikpeng
Ingarikó
Irántxe
Jamamadi
Jaraqui
Jarawára
Jaricuna
Javaé
Jenipapo-Kanindé
Kanindé
Paiaku
Jeripancó
Jiahui
Juma
Ka'apor
Kadiwéu
Kaeté
Kahyana
Kaiabi (Kawaiwete)
Kaimbé
Kaingang
Kaixana
Kakwa
Kalabaça
Kalankó
Kalapalo
Kamakã
Kamakã Mongoió
Kamarakoto
Kamayurá
Kamba
Kambéba
Kambiwá
Kampé
Kanamanti
Kanamarí
Kanela
Kanela Apanyekrá
Kanela Rankokamekrá
Kanoé
Kantaruré
Kapinawá
Karafawyana
Karajá
Karão-Jaguaribaras
Karapanã
